ID,CPU Usage,Memory Usage,Thread Count,Error Count,Total Data Received,Total Data Filtered,Total Data Compressed,Total Data Aggregated,Total Data After Heuristics
1317,0.02,41988480,30,0,688,318,125,239,6
1318,0.02,44255688,30,0,688,318,125,239,6
1319,0.02,47455816,30,0,686,318,125,239,4
1320,0.01,49563648,30,0,712,327,130,249,6
1321,0.01,51425664,30,0,710,327,130,249,4
1322,0.01,53522816,30,0,714,327,130,249,8
1323,0.08,56668544,30,0,712,327,130,249,6
1324,0.07,58802648,30,0,710,327,130,249,4
1325,1.98,61230056,30,0,744,340,136,262,6
1326,2.08,42238888,30,0,7,0,0,0,7
1327,1.84,65918816,29,0,5,0,0,0,5
1328,1.55,69161128,29,0,7,0,0,0,7
1329,1.31,48448232,30,0,44,19,7,14,4
1330,1.11,51451632,30,0,45,19,7,14,5
1331,0.94,54797336,30,0,45,19,7,14,5
1332,0.79,57374848,30,0,44,19,7,14,4
1333,0.67,59807696,30,0,46,19,7,14,6
1334,0.57,62366992,30,0,82,36,13,26,7
1335,0.48,64783736,30,0,83,36,13,26,8
1336,0.41,67130496,30,0,82,36,13,26,7
1337,0.34,69510608,30,0,83,36,13,26,8
1338,0.29,71829120,30,0,82,36,13,26,7
1339,0.24,74520304,30,0,115,54,19,38,4
1340,0.21,32031632,30,0,116,54,19,38,5
1341,0.17,34459144,30,0,116,54,19,38,5
1342,0.15,37134344,30,0,117,54,19,38,6
1343,0.12,39236000,30,0,119,54,19,38,8
1344,0.1,42117440,30,0,159,73,25,53,8
1345,0.09,44527576,30,0,159,73,25,53,8
1346,0.07,46943136,30,0,159,73,25,53,8
1347,0.06,49403280,30,0,158,73,25,53,7
1348,0.05,51821632,30,0,156,73,25,53,5
1349,0.04,54096928,30,0,187,85,31,65,6
1350,0.04,56716920,30,0,185,85,31,65,4
1351,0.03,58791784,30,0,185,85,31,65,4
1352,0.02,61304888,30,0,188,85,31,65,7
1353,0.02,63720360,30,0,186,85,31,65,5
1354,0.02,66306320,30,0,223,101,37,79,6
1355,0.01,68629560,30,0,225,101,37,79,8
1356,0.01,71042152,30,0,224,101,37,79,7
1357,0.01,73524720,30,0,222,101,37,79,5
1358,0.01,31934960,30,0,221,101,37,79,4
1359,0.01,34506104,30,0,256,117,43,90,6
1360,0.0,37092144,30,0,255,117,43,90,5
1361,0.0,39209784,30,0,254,117,43,90,4
1362,0.0,41844448,30,0,255,117,43,90,5
1363,0.0,44465800,30,0,256,117,43,90,6
1364,0.0,46845056,30,0,284,130,49,101,4
1365,0.0,49154664,30,0,287,130,49,101,7
1366,0.0,51792552,30,0,285,130,49,101,5
1367,0.0,54367672,30,0,284,130,49,101,4
1368,0.0,56480056,30,0,287,130,49,101,7
1369,0.0,59336096,30,0,322,147,55,114,6
1370,0.0,61753448,30,0,320,147,55,114,4
1371,0.0,63849768,30,0,323,147,55,114,7
1372,0.0,66457128,30,0,324,147,55,114,8
1373,0.0,69062728,30,0,321,147,55,114,5
1374,0.0,71597456,30,0,357,164,61,126,6
1375,0.0,31024352,30,0,358,164,61,126,7
1376,0.0,33209840,30,0,355,164,61,126,4
1377,0.0,35458880,30,0,355,164,61,126,4
1378,0.0,38025232,30,0,356,164,61,126,5
1379,0.07,40609896,30,0,391,179,67,139,6
1380,0.06,43114656,30,0,390,179,67,139,5
1381,0.05,45776336,30,0,392,179,67,139,7
1382,0.04,47884328,30,0,390,179,67,139,5
1383,0.04,50629512,30,0,392,179,67,139,7
1315,0.03,37794176,30,0,687,318,125,239,5
1316,0.03,39945048,30,0,689,318,125,239,7
